method,protocol,task,class_label,f1,n_subject_rows
ADNI_OLD_FIDELITY_FLOW,multi_task_mil,mci_spectrum_vs_ad,1,0.2222222222222222,35
ADNI_OLD_FIDELITY_FLOW,slice_svm_vote,cn_vs_ad,0,0.875,48
ADNI_OLD_FIDELITY_FLOW,slice_svm_vote,cn_vs_ad,1,0.375,48
ADNI_OLD_FIDELITY_FLOW,slice_svm_vote,cn_vs_mci_spectrum,0,0.6741573033707865,73
ADNI_OLD_FIDELITY_FLOW,slice_svm_vote,cn_vs_mci_spectrum,1,0.49122807017543857,73
ADNI_OLD_FIDELITY_FLOW,slice_svm_vote,mci_spectrum_vs_ad,0,0.8571428571428571,35
ADNI_OLD_FIDELITY_FLOW,slice_svm_vote,mci_spectrum_vs_ad,1,0.42857142857142855,35
ADNI_PIX2PIX,attention_mil,cn_vs_ad,0,0.7837837837837838,48
ADNI_PIX2PIX,attention_mil,cn_vs_ad,1,0.2727272727272727,48
ADNI_PIX2PIX,attention_mil,cn_vs_mci_spectrum,0,0.7191011235955056,73
ADNI_PIX2PIX,attention_mil,cn_vs_mci_spectrum,1,0.5614035087719298,73
ADNI_PIX2PIX,attention_mil,mci_spectrum_vs_ad,0,0.72,35
ADNI_PIX2PIX,attention_mil,mci_spectrum_vs_ad,1,0.3,35
ADNI_PIX2PIX,multi_task_mil,cn_vs_ad,0,0.891566265060241,48
ADNI_PIX2PIX,multi_task_mil,cn_vs_ad,1,0.3076923076923077,48
ADNI_PIX2PIX,multi_task_mil,cn_vs_mci_spectrum,0,0.6506024096385542,73
ADNI_PIX2PIX,multi_task_mil,cn_vs_mci_spectrum,1,0.5396825396825397,73
ADNI_PIX2PIX,multi_task_mil,mci_spectrum_vs_ad,0,0.847457627118644,35
ADNI_PIX2PIX,multi_task_mil,mci_spectrum_vs_ad,1,0.18181818181818182,35
ADNI_PIX2PIX,slice_svm_vote,cn_vs_ad,0,0.8888888888888888,48
ADNI_PIX2PIX,slice_svm_vote,cn_vs_ad,1,0.4,48
ADNI_PIX2PIX,slice_svm_vote,cn_vs_mci_spectrum,0,0.7526881720430108,73
ADNI_PIX2PIX,slice_svm_vote,cn_vs_mci_spectrum,1,0.5660377358490566,73
ADNI_PIX2PIX,slice_svm_vote,mci_spectrum_vs_ad,0,0.896551724137931,35
ADNI_PIX2PIX,slice_svm_vote,mci_spectrum_vs_ad,1,0.5,35
ADNI_UNET,attention_mil,cn_vs_ad,0,0.7428571428571429,48
ADNI_UNET,attention_mil,cn_vs_ad,1,0.3076923076923077,48
ADNI_UNET,attention_mil,cn_vs_mci_spectrum,0,0.7045454545454546,73
ADNI_UNET,attention_mil,cn_vs_mci_spectrum,1,0.5517241379310345,73
ADNI_UNET,attention_mil,mci_spectrum_vs_ad,0,0.0,35
ADNI_UNET,attention_mil,mci_spectrum_vs_ad,1,0.25,35
ADNI_UNET,multi_task_mil,cn_vs_ad,0,0.8780487804878049,48
ADNI_UNET,multi_task_mil,cn_vs_ad,1,0.2857142857142857,48
ADNI_UNET,multi_task_mil,cn_vs_mci_spectrum,0,0.5217391304347826,73
ADNI_UNET,multi_task_mil,cn_vs_mci_spectrum,1,0.5714285714285714,73
ADNI_UNET,multi_task_mil,mci_spectrum_vs_ad,0,0.7777777777777778,35
ADNI_UNET,multi_task_mil,mci_spectrum_vs_ad,1,0.25,35
ADNI_UNET,slice_svm_vote,cn_vs_ad,0,0.891566265060241,48
ADNI_UNET,slice_svm_vote,cn_vs_ad,1,0.3076923076923077,48
ADNI_UNET,slice_svm_vote,cn_vs_mci_spectrum,0,0.7111111111111111,73
ADNI_UNET,slice_svm_vote,cn_vs_mci_spectrum,1,0.5357142857142857,73
ADNI_UNET,slice_svm_vote,mci_spectrum_vs_ad,0,0.7307692307692307,35
ADNI_UNET,slice_svm_vote,mci_spectrum_vs_ad,1,0.2222222222222222,35
FA_GT,attention_mil,cn_vs_ad,0,0.9047619047619048,48
FA_GT,attention_mil,cn_vs_ad,1,0.3333333333333333,48
FA_GT,attention_mil,cn_vs_mci_spectrum,0,0.5074626865671642,73
FA_GT,attention_mil,cn_vs_mci_spectrum,1,0.5822784810126582,73
FA_GT,attention_mil,mci_spectrum_vs_ad,0,0.9180327868852459,35
FA_GT,attention_mil,mci_spectrum_vs_ad,1,0.4444444444444444,35
FA_GT,multi_task_mil,cn_vs_ad,0,0.9425287356321839,48
FA_GT,multi_task_mil,cn_vs_ad,1,0.4444444444444444,48
FA_GT,multi_task_mil,cn_vs_mci_spectrum,0,0.7096774193548387,73
FA_GT,multi_task_mil,cn_vs_mci_spectrum,1,0.49056603773584906,73
FA_GT,multi_task_mil,mci_spectrum_vs_ad,0,0.90625,35
FA_GT,multi_task_mil,mci_spectrum_vs_ad,1,0.0,35
FA_GT,slice_svm_vote,cn_vs_ad,0,0.8205128205128205,48
FA_GT,slice_svm_vote,cn_vs_ad,1,0.2222222222222222,48
FA_GT,slice_svm_vote,cn_vs_mci_spectrum,0,0.7111111111111111,73
FA_GT,slice_svm_vote,cn_vs_mci_spectrum,1,0.5357142857142857,73
FA_GT,slice_svm_vote,mci_spectrum_vs_ad,0,0.7169811320754716,35
FA_GT,slice_svm_vote,mci_spectrum_vs_ad,1,0.11764705882352941,35
T1_ONLY,attention_mil,cn_vs_ad,0,0.9662921348314607,48
T1_ONLY,attention_mil,cn_vs_ad,1,0.5714285714285714,48
T1_ONLY,attention_mil,cn_vs_mci_spectrum,0,0.47761194029850745,73
T1_ONLY,attention_mil,cn_vs_mci_spectrum,1,0.5569620253164557,73
T1_ONLY,attention_mil,mci_spectrum_vs_ad,0,0.8070175438596491,35
T1_ONLY,attention_mil,mci_spectrum_vs_ad,1,0.15384615384615385,35
T1_ONLY,multi_task_mil,cn_vs_ad,0,0.9156626506024096,48
T1_ONLY,multi_task_mil,cn_vs_ad,1,0.46153846153846156,48
T1_ONLY,multi_task_mil,cn_vs_mci_spectrum,0,0.4788732394366197,73
T1_ONLY,multi_task_mil,cn_vs_mci_spectrum,1,0.5066666666666667,73
T1_ONLY,multi_task_mil,mci_spectrum_vs_ad,0,0.7924528301886793,35
T1_ONLY,multi_task_mil,mci_spectrum_vs_ad,1,0.35294117647058826,35
T1_ONLY,slice_svm_vote,cn_vs_ad,0,0.8888888888888888,48
T1_ONLY,slice_svm_vote,cn_vs_ad,1,0.4,48
T1_ONLY,slice_svm_vote,cn_vs_mci_spectrum,0,0.6097560975609756,73
T1_ONLY,slice_svm_vote,cn_vs_mci_spectrum,1,0.5,73
T1_ONLY,slice_svm_vote,mci_spectrum_vs_ad,0,0.7777777777777778,35
T1_ONLY,slice_svm_vote,mci_spectrum_vs_ad,1,0.25,35
