dataset,result_family,protocol,method,task,n_train_subjects,n_test_subjects,n_train_slices,n_test_slices,accuracy,macro_auc,macro_f1,macro_f1_std,source_file,fairness_note
ADNI,latest_full_train_test_MIL,slice_svm_vote,T1_ONLY,cn_vs_mci_spectrum,255,73,12750,3650,0.5616438356164384,0.6387596899224807,0.5548780487804879,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,attention_mil,ADNI_A080_BASE,mci_spectrum_vs_ad,122,35,6100,1750,0.8857142857142857,0.5466666666666667,0.6354166666666666,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,attention_mil,FA_GT,mci_spectrum_vs_ad,122,35,6100,1750,0.8571428571428571,0.5866666666666667,0.6812386156648451,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,attention_mil,T1_ONLY,mci_spectrum_vs_ad,122,35,6100,1750,0.6857142857142857,0.6533333333333333,0.48043184885290147,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,attention_mil,ADNI_A080_DS_FULL,mci_spectrum_vs_ad,122,35,6100,1750,0.6,0.5533333333333333,0.51,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,attention_mil,ADNI_OLD_FIDELITY_FLOW,mci_spectrum_vs_ad,122,35,6100,1750,0.14285714285714285,0.54,0.125,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,multi_task_mil,FA_GT,mci_spectrum_vs_ad,272,35,13600,3900,0.8285714285714286,0.6266666666666667,0.453125,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,multi_task_mil,ADNI_A080_DS_FULL,mci_spectrum_vs_ad,272,35,13600,3900,0.8,0.6933333333333334,0.5537340619307832,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,multi_task_mil,ADNI_OLD_FIDELITY_FLOW,mci_spectrum_vs_ad,272,35,13600,3900,0.8,0.6333333333333333,0.5537340619307832,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,multi_task_mil,ADNI_A080_BASE,mci_spectrum_vs_ad,272,35,13600,3900,0.7714285714285715,0.6333333333333334,0.43548387096774194,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,multi_task_mil,T1_ONLY,mci_spectrum_vs_ad,272,35,13600,3900,0.6857142857142857,0.7066666666666667,0.5726970033296338,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,slice_svm_vote,ADNI_A080_BASE,mci_spectrum_vs_ad,122,35,6100,1750,0.8571428571428571,0.7266666666666667,0.7303543913713405,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,slice_svm_vote,ADNI_A080_DS_FULL,mci_spectrum_vs_ad,122,35,6100,1750,0.8285714285714286,0.7466666666666667,0.6982758620689655,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,slice_svm_vote,ADNI_OLD_FIDELITY_FLOW,mci_spectrum_vs_ad,122,35,6100,1750,0.7714285714285715,0.7333333333333334,0.6428571428571428,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,slice_svm_vote,T1_ONLY,mci_spectrum_vs_ad,122,35,6100,1750,0.6571428571428571,0.64,0.5138888888888888,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,slice_svm_vote,FA_GT,mci_spectrum_vs_ad,122,35,6100,1750,0.5714285714285714,0.7,0.41731409544950054,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,T1_ONLY,cn_vs_mci_spectrum,,73,,,0.5835616438356165,0.6017054263565891,0.5696346107753257,0.020103388435509132,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,T1_ONLY,cn_vs_ad,,48,,,0.7916666666666667,0.7413953488372094,0.5215991259082914,0.05247275631005111,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,T1_ONLY,mci_spectrum_vs_ad,,35,,,0.6914285714285715,0.3866666666666666,0.42197612628505715,0.027752593306871184,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_A080_DS_FULL,cn_vs_mci_spectrum,,73,,,0.5808219178082192,0.534108527131783,0.5540326085697252,0.05950496469261103,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_A080_DS_FULL,cn_vs_ad,,48,,,0.75,0.6139534883720931,0.5209298611833284,0.04540227209122731,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_A080_DS_FULL,mci_spectrum_vs_ad,,35,,,0.7314285714285715,0.45066666666666666,0.46975507346078116,0.07215351848745519,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_A080_BASE,cn_vs_mci_spectrum,,73,,,0.5561643835616439,0.5468217054263567,0.5280129230265611,0.057170082489418024,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_A080_BASE,cn_vs_ad,,48,,,0.7208333333333333,0.4800000000000001,0.5002405531620456,0.020311506179836743,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_A080_BASE,mci_spectrum_vs_ad,,35,,,0.6114285714285714,0.2906666666666667,0.40435147211463,0.042610842219331264,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_OLD_FIDELITY_FLOW,cn_vs_mci_spectrum,,73,,,0.5506849315068493,0.5570542635658915,0.5334389076975887,0.03489246118080263,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_OLD_FIDELITY_FLOW,cn_vs_ad,,48,,,0.7208333333333333,0.6381395348837209,0.5117935621411736,0.03996006929649895,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_OLD_FIDELITY_FLOW,mci_spectrum_vs_ad,,35,,,0.7028571428571428,0.6546666666666667,0.472003744522414,0.0970104291110691,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_UNET,cn_vs_mci_spectrum,,73,,,0.5808219178082192,0.6198449612403102,0.5681578812705926,0.027104200308635504,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_UNET,cn_vs_ad,,48,,,0.6333333333333333,0.3637209302325581,0.43344306277817274,0.029625033749205144,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_UNET,mci_spectrum_vs_ad,,35,,,0.6799999999999999,0.4706666666666667,0.47776412366125987,0.027180810665936875,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_PIX2PIX,cn_vs_mci_spectrum,,73,,,0.6082191780821917,0.6189147286821706,0.6018315797031806,0.039359291811024565,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_PIX2PIX,cn_vs_ad,,48,,,0.7000000000000001,0.49116279069767443,0.5375292921241324,0.024591922636317622,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_PIX2PIX,mci_spectrum_vs_ad,,35,,,0.5599999999999999,0.2866666666666666,0.41083531779698523,0.0426107512142123,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_CYCLEGAN,cn_vs_mci_spectrum,,73,,,0.45205479452054786,0.4427906976744186,0.4444516226575964,0.025188348353642327,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_CYCLEGAN,cn_vs_ad,,48,,,0.6916666666666667,0.5116279069767442,0.511097288676236,0.024479858024795235,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,ADNI_CYCLEGAN,mci_spectrum_vs_ad,,35,,,0.6057142857142856,0.31466666666666665,0.40300865800865804,0.04926408828429551,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,FA_GT,cn_vs_mci_spectrum,,73,,,0.6,0.6072868217054264,0.5930658300810416,0.028731160893960876,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
