method,task,classifier,max_features,n_features,n_selected_features,n_train_subjects,n_test_subjects,accuracy,balanced_accuracy,macro_auc,macro_f1
Old Fidelity Flow,cn_vs_mci_spectrum,linear_svm,40,192,40,255,73,0.5616438356164384,0.5372093023255814,0.6077519379844961,0.5365079365079365
Old Fidelity Flow,cn_vs_ad,logistic,0,192,192,167,48,0.8541666666666666,0.741860465116279,0.827906976744186,0.6886005560704356
Old Fidelity Flow,cn_vs_ad,logistic,20,192,20,167,48,0.8125,0.6302325581395349,0.7302325581395349,0.5996292863762743
Old Fidelity Flow,cn_vs_ad,logistic,40,192,40,167,48,0.7708333333333334,0.6069767441860465,0.7395348837209302,0.5654320987654321
Old Fidelity Flow,cn_vs_ad,linear_svm,0,192,192,167,48,0.8958333333333334,0.7651162790697674,0.8465116279069768,0.7433155080213903
Old Fidelity Flow,cn_vs_ad,linear_svm,20,192,20,167,48,0.7708333333333334,0.6069767441860465,0.7116279069767442,0.5654320987654321
Old Fidelity Flow,cn_vs_ad,linear_svm,40,192,40,167,48,0.8125,0.6302325581395349,0.7116279069767442,0.5996292863762743
Old Fidelity Flow,mci_spectrum_vs_ad,logistic,0,192,192,122,35,0.7428571428571429,0.6000000000000001,0.6333333333333333,0.5748987854251012
Old Fidelity Flow,mci_spectrum_vs_ad,logistic,20,192,20,122,35,0.7142857142857143,0.5833333333333334,0.7,0.5535714285714286
Old Fidelity Flow,mci_spectrum_vs_ad,logistic,40,192,40,122,35,0.7142857142857143,0.5833333333333334,0.6,0.5535714285714286
Old Fidelity Flow,mci_spectrum_vs_ad,linear_svm,0,192,192,122,35,0.7428571428571429,0.43333333333333335,0.6066666666666667,0.4262295081967213
Old Fidelity Flow,mci_spectrum_vs_ad,linear_svm,20,192,20,122,35,0.6285714285714286,0.5333333333333333,0.6733333333333333,0.4950055493895672
Old Fidelity Flow,mci_spectrum_vs_ad,linear_svm,40,192,40,122,35,0.6285714285714286,0.5333333333333333,0.5800000000000001,0.4950055493895672
T1_ONLY,cn_vs_mci_spectrum,logistic,0,192,192,255,73,0.589041095890411,0.5906976744186047,0.5852713178294574,0.5852272727272727
T1_ONLY,cn_vs_mci_spectrum,logistic,20,192,20,255,73,0.589041095890411,0.5856589147286821,0.5914728682170542,0.5826981707317074
T1_ONLY,cn_vs_mci_spectrum,logistic,40,192,40,255,73,0.5068493150684932,0.5058139534883721,0.5837209302325581,0.5022727272727273
T1_ONLY,cn_vs_mci_spectrum,linear_svm,0,192,192,255,73,0.547945205479452,0.5608527131782945,0.568217054263566,0.5476056338028169
T1_ONLY,cn_vs_mci_spectrum,linear_svm,20,192,20,255,73,0.5205479452054794,0.5073643410852713,0.5604651162790698,0.5072324011571842
T1_ONLY,cn_vs_mci_spectrum,linear_svm,40,192,40,255,73,0.5342465753424658,0.5290697674418605,0.5542635658914729,0.5270579268292683
T1_ONLY,cn_vs_ad,logistic,0,192,192,167,48,0.8541666666666666,0.6534883720930232,0.8,0.6406417112299465
T1_ONLY,cn_vs_ad,logistic,20,192,20,167,48,0.625,0.613953488372093,0.6883720930232557,0.5
T1_ONLY,cn_vs_ad,logistic,40,192,40,167,48,0.7916666666666666,0.7069767441860465,0.7674418604651163,0.625
T1_ONLY,cn_vs_ad,linear_svm,0,192,192,167,48,0.8333333333333334,0.6418604651162791,0.7627906976744186,0.6190476190476191
T1_ONLY,cn_vs_ad,linear_svm,20,192,20,167,48,0.7083333333333334,0.6604651162790698,0.6976744186046511,0.5578947368421052
T1_ONLY,cn_vs_ad,linear_svm,40,192,40,167,48,0.7916666666666666,0.7069767441860465,0.7767441860465116,0.625
T1_ONLY,mci_spectrum_vs_ad,logistic,0,192,192,122,35,0.7714285714285715,0.6166666666666667,0.5133333333333334,0.5977011494252873
T1_ONLY,mci_spectrum_vs_ad,logistic,20,192,20,122,35,0.6857142857142857,0.5666666666666667,0.66,0.5333333333333333
T1_ONLY,mci_spectrum_vs_ad,logistic,40,192,40,122,35,0.6285714285714286,0.44999999999999996,0.5066666666666667,0.4484848484848485
T1_ONLY,mci_spectrum_vs_ad,linear_svm,0,192,192,122,35,0.8,0.6333333333333333,0.5066666666666667,0.6224961479198767
T1_ONLY,mci_spectrum_vs_ad,linear_svm,20,192,20,122,35,0.6857142857142857,0.5666666666666667,0.6533333333333333,0.5333333333333333
T1_ONLY,mci_spectrum_vs_ad,linear_svm,40,192,40,122,35,0.6571428571428571,0.38333333333333336,0.4666666666666667,0.39655172413793105
T1_PLUS_A080_BASE,cn_vs_mci_spectrum,logistic,0,384,384,255,73,0.547945205479452,0.5709302325581396,0.5674418604651164,0.5476056338028169
T1_PLUS_A080_BASE,cn_vs_mci_spectrum,logistic,20,384,20,255,73,0.5342465753424658,0.5492248062015503,0.6232558139534885,0.5341591591591592
T1_PLUS_A080_BASE,cn_vs_mci_spectrum,logistic,40,384,40,255,73,0.5753424657534246,0.6042635658914729,0.6527131782945736,0.5740636175418784
T1_PLUS_A080_BASE,cn_vs_mci_spectrum,linear_svm,0,384,384,255,73,0.5616438356164384,0.5825581395348837,0.5852713178294574,0.5615615615615616
T1_PLUS_A080_BASE,cn_vs_mci_spectrum,linear_svm,20,384,20,255,73,0.5068493150684932,0.5108527131782945,0.5782945736434109,0.504524886877828
T1_PLUS_A080_BASE,cn_vs_mci_spectrum,linear_svm,40,384,40,255,73,0.5753424657534246,0.5790697674418605,0.6,0.5724541847723408
T1_PLUS_A080_BASE,cn_vs_ad,logistic,0,384,384,167,48,0.8958333333333334,0.6767441860465117,0.8465116279069769,0.6934865900383141
T1_PLUS_A080_BASE,cn_vs_ad,logistic,20,384,20,167,48,0.8125,0.7186046511627907,0.7255813953488373,0.6444444444444444
T1_PLUS_A080_BASE,cn_vs_ad,logistic,40,384,40,167,48,0.7916666666666666,0.7069767441860465,0.8186046511627907,0.625
T1_PLUS_A080_BASE,cn_vs_ad,linear_svm,0,384,384,167,48,0.8333333333333334,0.5534883720930233,0.827906976744186,0.5534883720930233
T1_PLUS_A080_BASE,cn_vs_ad,linear_svm,20,384,20,167,48,0.8541666666666666,0.741860465116279,0.7534883720930232,0.6886005560704356
T1_PLUS_A080_BASE,cn_vs_ad,linear_svm,40,384,40,167,48,0.8333333333333334,0.7302325581395348,0.8465116279069766,0.6655052264808362
T1_PLUS_A080_BASE,mci_spectrum_vs_ad,logistic,0,384,384,122,35,0.8285714285714286,0.48333333333333334,0.4733333333333334,0.453125
T1_PLUS_A080_BASE,mci_spectrum_vs_ad,logistic,20,384,20,122,35,0.6857142857142857,0.4833333333333334,0.7133333333333334,0.48043184885290147
T1_PLUS_A080_BASE,mci_spectrum_vs_ad,logistic,40,384,40,122,35,0.7142857142857143,0.5,0.64,0.49712643678160917
T1_PLUS_A080_BASE,mci_spectrum_vs_ad,linear_svm,0,384,384,122,35,0.8285714285714286,0.48333333333333334,0.5266666666666666,0.453125
T1_PLUS_A080_BASE,mci_spectrum_vs_ad,linear_svm,20,384,20,122,35,0.6857142857142857,0.4833333333333334,0.7133333333333334,0.48043184885290147
T1_PLUS_A080_BASE,mci_spectrum_vs_ad,linear_svm,40,384,40,122,35,0.7428571428571429,0.6000000000000001,0.6066666666666667,0.5748987854251012
T1_PLUS_A080_DS,cn_vs_mci_spectrum,logistic,0,384,384,255,73,0.5205479452054794,0.5375968992248061,0.5356589147286822,0.5205479452054794
T1_PLUS_A080_DS,cn_vs_mci_spectrum,logistic,20,384,20,255,73,0.589041095890411,0.5856589147286821,0.5868217054263566,0.5826981707317074
T1_PLUS_A080_DS,cn_vs_mci_spectrum,logistic,40,384,40,255,73,0.5616438356164384,0.5875968992248062,0.6333333333333333,0.5609022556390977
T1_PLUS_A080_DS,cn_vs_mci_spectrum,linear_svm,0,384,384,255,73,0.4931506849315068,0.5244186046511627,0.5186046511627908,0.4897033818250519
T1_PLUS_A080_DS,cn_vs_mci_spectrum,linear_svm,20,384,20,255,73,0.5342465753424658,0.5189922480620155,0.5527131782945737,0.5189922480620155
T1_PLUS_A080_DS,cn_vs_mci_spectrum,linear_svm,40,384,40,255,73,0.547945205479452,0.5558139534883721,0.5829457364341086,0.5465838509316769
T1_PLUS_A080_DS,cn_vs_ad,logistic,0,384,384,167,48,0.875,0.5767441860465117,0.827906976744186,0.5909090909090908
T1_PLUS_A080_DS,cn_vs_ad,logistic,20,384,20,167,48,0.7291666666666666,0.672093023255814,0.7209302325581395,0.5734791524265208
T1_PLUS_A080_DS,cn_vs_ad,logistic,40,384,40,167,48,0.8125,0.7186046511627907,0.758139534883721,0.6444444444444444
T1_PLUS_A080_DS,cn_vs_ad,linear_svm,0,384,384,167,48,0.8333333333333334,0.5534883720930233,0.8372093023255813,0.5534883720930233
T1_PLUS_A080_DS,cn_vs_ad,linear_svm,20,384,20,167,48,0.7708333333333334,0.6953488372093023,0.7348837209302326,0.6068503350707372
T1_PLUS_A080_DS,cn_vs_ad,linear_svm,40,384,40,167,48,0.7916666666666666,0.7069767441860465,0.758139534883721,0.625
T1_PLUS_A080_DS,mci_spectrum_vs_ad,logistic,0,384,384,122,35,0.8,0.4666666666666667,0.47333333333333333,0.4444444444444444
T1_PLUS_A080_DS,mci_spectrum_vs_ad,logistic,20,384,20,122,35,0.6857142857142857,0.4833333333333334,0.7466666666666667,0.48043184885290147
T1_PLUS_A080_DS,mci_spectrum_vs_ad,logistic,40,384,40,122,35,0.7428571428571429,0.5166666666666667,0.62,0.514637904468413
T1_PLUS_A080_DS,mci_spectrum_vs_ad,linear_svm,0,384,384,122,35,0.8571428571428571,0.5,0.5266666666666667,0.46153846153846156
T1_PLUS_A080_DS,mci_spectrum_vs_ad,linear_svm,20,384,20,122,35,0.7142857142857143,0.5833333333333334,0.7533333333333333,0.5535714285714286
T1_PLUS_A080_DS,mci_spectrum_vs_ad,linear_svm,40,384,40,122,35,0.7142857142857143,0.5,0.6133333333333333,0.49712643678160917
T1_PLUS_FA_GT,cn_vs_mci_spectrum,logistic,0,384,384,255,73,0.5068493150684932,0.5058139534883721,0.5279069767441862,0.5022727272727273
T1_PLUS_FA_GT,cn_vs_mci_spectrum,logistic,20,384,20,255,73,0.5753424657534246,0.5740310077519379,0.6403100775193798,0.5701804368471035
T1_PLUS_FA_GT,cn_vs_mci_spectrum,logistic,40,384,40,255,73,0.6164383561643836,0.624031007751938,0.6341085271317829,0.6146304675716441
T1_PLUS_FA_GT,cn_vs_mci_spectrum,linear_svm,0,384,384,255,73,0.4657534246575342,0.4658914728682171,0.5217054263565892,0.46211978084262234
T1_PLUS_FA_GT,cn_vs_mci_spectrum,linear_svm,20,384,20,255,73,0.5616438356164384,0.5523255813953488,0.603875968992248,0.5514592933947773
T1_PLUS_FA_GT,cn_vs_mci_spectrum,linear_svm,40,384,40,255,73,0.547945205479452,0.5406976744186047,0.6317829457364341,0.5393000573723465
T1_PLUS_FA_GT,cn_vs_ad,logistic,0,384,384,167,48,0.8541666666666666,0.6534883720930232,0.9116279069767441,0.6406417112299465
T1_PLUS_FA_GT,cn_vs_ad,logistic,20,384,20,167,48,0.6875,0.6488372093023256,0.7209302325581395,0.5428571428571429
T1_PLUS_FA_GT,cn_vs_ad,logistic,40,384,40,167,48,0.7291666666666666,0.672093023255814,0.7813953488372093,0.5734791524265208
T1_PLUS_FA_GT,cn_vs_ad,linear_svm,0,384,384,167,48,0.8541666666666666,0.5651162790697675,0.9116279069767442,0.5708812260536398
T1_PLUS_FA_GT,cn_vs_ad,linear_svm,20,384,20,167,48,0.7291666666666666,0.672093023255814,0.7209302325581396,0.5734791524265208
T1_PLUS_FA_GT,cn_vs_ad,linear_svm,40,384,40,167,48,0.7708333333333334,0.7837209302325582,0.8,0.6390977443609023
T1_PLUS_FA_GT,mci_spectrum_vs_ad,logistic,0,384,384,122,35,0.7428571428571429,0.6000000000000001,0.6266666666666667,0.5748987854251012
T1_PLUS_FA_GT,mci_spectrum_vs_ad,logistic,20,384,20,122,35,0.6857142857142857,0.5666666666666667,0.66,0.5333333333333333
T1_PLUS_FA_GT,mci_spectrum_vs_ad,logistic,40,384,40,122,35,0.7142857142857143,0.5,0.5666666666666667,0.49712643678160917
T1_PLUS_FA_GT,mci_spectrum_vs_ad,linear_svm,0,384,384,122,35,0.7714285714285715,0.6166666666666667,0.6533333333333333,0.5977011494252873
T1_PLUS_FA_GT,mci_spectrum_vs_ad,linear_svm,20,384,20,122,35,0.6857142857142857,0.5666666666666667,0.6533333333333333,0.5333333333333333
T1_PLUS_FA_GT,mci_spectrum_vs_ad,linear_svm,40,384,40,122,35,0.7142857142857143,0.6666666666666666,0.6466666666666667,0.5949074074074074
T1_PLUS_OLD_FLOW,cn_vs_mci_spectrum,logistic,0,384,384,255,73,0.5342465753424658,0.5542635658914729,0.5317829457364341,0.5341591591591592
T1_PLUS_OLD_FLOW,cn_vs_mci_spectrum,logistic,20,384,20,255,73,0.5342465753424658,0.5341085271317829,0.6085271317829457,0.5299242424242424
