method,task,protocol,classifier,feature_set,n_train_subjects,n_test_subjects,n_train_slices,n_test_slices,n_features,n_selected_features,accuracy,balanced_accuracy,macro_f1,macro_auc_ovr,epochs,seed
Pix2Pix,cn_vs_mci_spectrum,multi_task_mil,multi_task_mil,roi_mean,173,34,8650,1900,159,159,0.5,0.5,0.3333333333333333,0.5847750865051903,80.0,2026.0
Stage1_LPIPS_GAN,cn_vs_mci_spectrum,multi_task_mil,multi_task_mil,roi_mean,173,34,8650,1900,159,159,0.5,0.5,0.3333333333333333,0.6089965397923875,80.0,2026.0
T1_ONLY,cn_vs_mci_spectrum,multi_task_mil,multi_task_mil,roi_mean,173,34,8650,1900,159,159,0.5,0.5,0.3333333333333333,0.57439446366782,80.0,2026.0
UNet,cn_vs_mci_spectrum,multi_task_mil,multi_task_mil,roi_mean,173,34,8650,1900,159,159,0.5294117647058824,0.5294117647058824,0.4624505928853755,0.7474048442906575,80.0,2026.0
CycleGAN,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,152,34,7600,1700,159,159,0.4705882352941176,0.4705882352941176,0.4705882352941176,0.4878892733564013,,
FA_GT,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,152,34,7600,1700,159,159,0.5588235294117647,0.5588235294117647,0.5490716180371353,0.6228373702422145,,
FidelityFlow,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,152,34,7600,1700,159,159,0.6176470588235294,0.6176470588235294,0.6091954022988506,0.5709342560553633,,
PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,152,34,7600,1700,159,159,0.5294117647058824,0.5294117647058824,0.5228070175438597,0.5536332179930795,,
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,152,34,7600,1700,159,159,0.4705882352941176,0.4705882352941176,0.46875,0.5294117647058824,,
Pix2Pix,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,152,34,7600,1700,159,159,0.5588235294117647,0.5588235294117647,0.5553618134263296,0.5986159169550174,,
