method,task,n_repeats,seed_min,seed_max,n_subjects,n_features,n_selected_features,n_splits,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_std,macro_f1_ci95_low,macro_f1_ci95_high,macro_auc_ovr_mean,macro_auc_ovr_std,macro_auc_ovr_ci95_low,macro_auc_ovr_ci95_high
ADNI_OLD_FIDELITY_FLOW,cn_vs_ad,5,2026,2030,48,12,12,5,0.7208333333333333,0.034860834438919824,0.6902764646746795,0.7513902019919871,0.5437209302325581,0.05777560516039222,0.49307837944526683,0.5943634810198494,0.5117935621411736,0.03996006929649895,0.4767670170588046,0.5468201072235425,0.6381395348837209,0.032458318739289074,0.6096885640862498,0.6665905056811919
ADNI_OLD_FIDELITY_FLOW,mci_spectrum_vs_ad,5,2026,2030,35,12,12,5,0.7028571428571428,0.059246975295222076,0.6509248792823669,0.7547894064319188,0.47666666666666674,0.11583033569262705,0.37513690091625573,0.5781964324170777,0.472003744522414,0.0970104291110691,0.3869703542270542,0.5570371348177738,0.6546666666666667,0.05525697542693895,0.6062317921786837,0.7031015411546497
ADNI_UNET,cn_vs_mci_spectrum,5,2026,2030,73,12,12,5,0.5808219178082192,0.030012194931789922,0.5545150690638081,0.6071287665526304,0.5686046511627907,0.026286671969836795,0.5455633672754877,0.5916459350500937,0.5681578812705926,0.027104200308635504,0.5444000021991677,0.5919157603420175,0.6198449612403102,0.031519993740613726,0.5922164685677932,0.6474734539128272
ADNI_UNET,cn_vs_ad,5,2026,2030,48,12,12,5,0.6333333333333333,0.02375365468956538,0.6125123369861628,0.6541543296805038,0.4418604651162791,0.059722632736726816,0.3895112694112055,0.49420966082135265,0.43344306277817274,0.029625033749205144,0.40747557577298504,0.45941054978336043,0.3637209302325581,0.05546401929586548,0.3151045737917993,0.41233728667331687
ADNI_UNET,mci_spectrum_vs_ad,5,2026,2030,35,12,12,5,0.6799999999999999,0.046947647786157114,0.6388485723212425,0.7211514276787574,0.4800000000000001,0.027386127875258334,0.45599500052072495,0.5040049994792752,0.47776412366125987,0.027180810665936875,0.45393909265088606,0.5015891546716337,0.4706666666666667,0.044870183121236897,0.4313362170548625,0.5099971162784709
ADNI_PIX2PIX,cn_vs_mci_spectrum,5,2026,2030,73,12,12,5,0.6082191780821917,0.038258191900736836,0.5746843943099702,0.6417539618544132,0.605968992248062,0.04103276592351744,0.5700021871154118,0.6419357973807122,0.6018315797031806,0.039359291811024565,0.5673316393051855,0.6363315201011757,0.6189147286821706,0.03633335896913372,0.5870671353638638,0.6507623220004773
ADNI_PIX2PIX,cn_vs_ad,5,2026,2030,48,12,12,5,0.7000000000000001,0.037845629426218635,0.6668268431810699,0.7331731568189302,0.6204651162790698,0.04317697240957901,0.5826188312938527,0.6583114012642868,0.5375292921241324,0.024591922636317622,0.5159735215249414,0.5590850627233234,0.49116279069767443,0.05048172484173077,0.44691360789759493,0.5354119734977539
ADNI_PIX2PIX,mci_spectrum_vs_ad,5,2026,2030,35,12,12,5,0.5599999999999999,0.07719574906346455,0.49233494254787036,0.6276650574521295,0.41,0.04503085362035434,0.3705287164862577,0.44947128351374227,0.41083531779698523,0.0426107512142123,0.37348534757235957,0.4481852880216109,0.2866666666666666,0.044221663871405324,0.24790466924077997,0.3254286640925533
ADNI_CYCLEGAN,cn_vs_mci_spectrum,5,2026,2030,73,12,12,5,0.45205479452054786,0.02165943602855054,0.43306946176540223,0.4710401272756935,0.44620155038759696,0.026734915818357748,0.4227673634437047,0.4696357373314892,0.4444516226575964,0.025188348353642327,0.42237306186699825,0.4665301834481946,0.4427906976744186,0.024139539862485977,0.42163145805980945,0.4639499372890277
ADNI_CYCLEGAN,cn_vs_ad,5,2026,2030,48,12,12,5,0.6916666666666667,0.03726779962499648,0.659,0.7243333333333333,0.5627906976744186,0.02080063234883526,0.5445581395348837,0.5810232558139534,0.511097288676236,0.024479858024795235,0.4896397470400256,0.5325548303124465,0.5116279069767442,0.02206240228024451,0.49228935872847956,0.5309664552250088
ADNI_CYCLEGAN,mci_spectrum_vs_ad,5,2026,2030,35,12,12,5,0.6057142857142856,0.037252585172586575,0.5730609551031519,0.6383676163254194,0.3866666666666666,0.0660387091871965,0.3287811858542134,0.4445521474791198,0.40300865800865804,0.04926408828429551,0.3598267807093896,0.44619053530792646,0.31466666666666665,0.06487595000374861,0.2578003892158689,0.3715329441174644
FA_GT,cn_vs_mci_spectrum,5,2026,2030,73,12,12,5,0.6,0.029697922450244926,0.5739686232314082,0.6260313767685918,0.595968992248062,0.02860559650546039,0.5708950813853911,0.6210429031107328,0.5930658300810416,0.028731160893960876,0.5678818571791406,0.6182498029829426,0.6072868217054264,0.05428460278821065,0.559704269414749,0.6548693739961037
FA_GT,cn_vs_ad,5,2026,2030,48,12,12,5,0.7791666666666667,0.023753654689565366,0.7583456703194962,0.7999876630138372,0.6823255813953489,0.030259379873161196,0.655802065496825,0.7088490972938729,0.6056147092522677,0.012908919021008833,0.5942995428370375,0.6169298756674979,0.7879069767441861,0.029342902875511646,0.7621867883533534,0.8136271651350188
FA_GT,mci_spectrum_vs_ad,5,2026,2030,35,12,12,5,0.7657142857142857,0.031298431857438073,0.7382800005951141,0.7931485708334572,0.6633333333333334,0.059395098937351495,0.61127123366167,0.7153954330049969,0.6213421666053245,0.04726649674461144,0.5799112554918688,0.6627730777187801,0.716,0.03319973226130326,0.6868991515969417,0.7451008484030582
