method,task,classifier,feature,coefficient,abs_coefficient
A080 Base,cn_vs_ad,linear_svm,roi_r0_c2_wm_count_slice_std,0.5136087867714565,0.5136087867714565
A080 Base,cn_vs_ad,linear_svm,roi_r1_c1_brain_grad_mean_slice_std,0.4336901760760992,0.4336901760760992
A080 Base,cn_vs_ad,linear_svm,roi_r1_c0_brain_p10_slice_std,0.4250230708322502,0.4250230708322502
A080 Base,cn_vs_ad,linear_svm,roi_r0_c0_wm_local_var_slice_mean,-0.37454598121020327,0.37454598121020327
A080 Base,cn_vs_ad,linear_svm,roi_r0_c1_brain_grad_mean_slice_std,-0.36594378121479126,0.36594378121479126
A080 Base,cn_vs_ad,linear_svm,roi_r1_c1_wm_count_slice_std,0.3573998821952244,0.3573998821952244
A080 Base,cn_vs_ad,linear_svm,roi_r1_c2_wm_count_slice_std,-0.3449266543199307,0.3449266543199307
A080 Base,cn_vs_ad,linear_svm,roi_r1_c0_brain_p90_slice_std,-0.3439642896345259,0.3439642896345259
A080 Base,cn_vs_ad,linear_svm,roi_r0_c0_wm_grad_mean_slice_std,-0.3340408799534057,0.3340408799534057
A080 Base,cn_vs_ad,linear_svm,roi_r1_c1_brain_median_slice_std,-0.32098929712807434,0.32098929712807434
A080 Base,cn_vs_ad,linear_svm,roi_r0_c1_wm_count_slice_std,-0.3125436250086521,0.3125436250086521
A080 Base,cn_vs_ad,linear_svm,roi_r0_c0_brain_local_var_slice_std,0.31106054240781406,0.31106054240781406
A080 Base,cn_vs_ad,linear_svm,roi_r0_c0_wm_std_slice_mean,-0.30817252338749246,0.30817252338749246
A080 Base,cn_vs_ad,linear_svm,roi_r0_c1_brain_mean_slice_std,0.3035543047966426,0.3035543047966426
A080 Base,cn_vs_ad,linear_svm,roi_r1_c2_wm_count_slice_mean,-0.2981368966841621,0.2981368966841621
A080 Base,cn_vs_ad,linear_svm,roi_r0_c0_wm_median_slice_std,0.2950024711497624,0.2950024711497624
A080 Base,cn_vs_ad,linear_svm,roi_r1_c0_brain_grad_mean_slice_std,0.28165815288946966,0.28165815288946966
A080 Base,cn_vs_ad,linear_svm,roi_r0_c1_brain_std_slice_std,-0.24475251395255193,0.24475251395255193
A080 Base,cn_vs_ad,linear_svm,roi_r0_c1_brain_median_slice_std,0.24328086405970437,0.24328086405970437
A080 Base,cn_vs_ad,linear_svm,roi_r0_c2_wm_grad_mean_slice_std,-0.24093087244675832,0.24093087244675832
A080 Base,mci_spectrum_vs_ad,logistic,roi_r0_c2_wm_count_slice_std,1.1608297440734292,1.1608297440734292
A080 Base,mci_spectrum_vs_ad,logistic,roi_r0_c2_wm_p90_slice_std,-1.0393739361935759,1.0393739361935759
A080 Base,mci_spectrum_vs_ad,logistic,roi_r0_c0_wm_median_slice_std,1.0183500361935203,1.0183500361935203
A080 Base,mci_spectrum_vs_ad,logistic,roi_r0_c2_wm_count_slice_mean,0.9340949652405128,0.9340949652405128
A080 Base,mci_spectrum_vs_ad,logistic,roi_r0_c1_brain_grad_mean_slice_std,-0.882439260938745,0.882439260938745
A080 Base,mci_spectrum_vs_ad,logistic,roi_r0_c1_brain_std_slice_std,-0.8636469498136523,0.8636469498136523
A080 Base,mci_spectrum_vs_ad,logistic,roi_r0_c0_brain_median_slice_std,-0.8366155903487889,0.8366155903487889
